Student Name,Student ID,Faculty,Year of Intake,Expected Year of Graduation,Gender,Major Courses,Sponsorship Status,Nationality,Units to Complete Degree,Level of Education, Classes Attended,Classes to Graduate
Peter Davis,51341857,"School of Communication, Cinematic & Creative Arts",2022,2024,Other,Graphic Design,Sponsored,Ugandan,33,Masters,35,12
Peter Brown,89696059,School of Humanities & Social Sciences,2022,2026,Male,International Relations,Sponsored,Mexican,126,Undergraduate,12,40
Jane Wilson,46527937,"School of Communication, Cinematic & Creative Arts",2024,2028,Female,Graphic Design,Sponsored,Nigerian,87,PhD,20,13
Peter Davis,15756184,School of Science & Technology,2022,2026,Female,Mathematics,Sponsored,Rwandan,131,Undergraduate,38,42
David Williams,29573326,School of Humanities & Social Sciences,2024,2028,Other,Psychology,Sponsored,Nigerian,146,Undergraduate,24,42
David Smith,59454894,School of Science & Technology,2022,2027,Other,Biotechnology,Self-sponsored,French,88,PhD,25,12
Sarah Jones,52429172,"School of Communication, Cinematic & Creative Arts",2022,2023,Other,Film Production,Self-sponsored,French,34,Masters,15,12
Sarah Williams,65259502,Chandaria School of Business,2022,2026,Male,Finance,Self-sponsored,French,137,Undergraduate,48,42
Mary Miller,78314581,"School of Graduate Studies, Research & Extension",2025,2029,Other,Thesis Writing,Self-sponsored,Rwandan,145,Undergraduate,39,43
Mary Brown,31250243,School of Science & Technology,2023,2026,Male,Computer Science,Sponsored,American,72,PhD,26,12
Peter Davis,26646512,"School of Graduate Studies, Research & Extension",2022,2026,Female,Thesis Writing,Sponsored,American,127,Undergraduate,35,42
Peter Miller,80650541,School of Humanities & Social Sciences,2024,2028,Other,Psychology,Sponsored,Ugandan,54,PhD,40,13
Mary Davis,58079507,School of Science & Technology,2024,2028,Female,Mathematics,Self-sponsored,Mexican,73,PhD,16,12
Michael Jones,29507533,"School of Communication, Cinematic & Creative Arts",2025,2029,Other,Film Production,Self-sponsored,Brazilian,158,Undergraduate,42,44
Michael Doe,68393552,School of Humanities & Social Sciences,2022,2026,Other,International Relations,Self-sponsored,Australian,150,Undergraduate,20,40
John Miller,46838516,School of Science & Technology,2022,2025,Other,Computer Science,Self-sponsored,Brazilian,122,Undergraduate,34,44
John Doe,69334925,"School of Communication, Cinematic & Creative Arts",2025,2029,Male,Journalism,Self-sponsored,South African,151,Undergraduate,49,42
Mary Smith,95078110,Chandaria School of Business,2023,2028,Male,Finance,Self-sponsored,Canadian,53,PhD,20,13
John Wilson,23780745,School of Science & Technology,2025,2028,Male,Mathematics,Sponsored,Brazilian,50,PhD,15,14
David Jones,84593172,Chandaria School of Business,2024,2026,Other,Human Resource Management,Self-sponsored,Nigerian,60,Masters,31,16
Emily Davis,21603009,School of Pharmacy & Health Sciences,2023,2026,Other,Public Health,Sponsored,Tanzanian,133,Undergraduate,41,44
Jane Davis,58445982,"School of Graduate Studies, Research & Extension",2024,2028,Other,Thesis Writing,Self-sponsored,Tanzanian,71,PhD,36,16
Peter Brown,98907410,"School of Communication, Cinematic & Creative Arts",2025,2029,Other,Film Production,Sponsored,Ugandan,145,Undergraduate,23,40
Mary Wilson,59778455,School of Science & Technology,2022,2025,Male,Biotechnology,Self-sponsored,Kenyan,63,PhD,37,12
John Davis,95456862,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Film Production,Self-sponsored,Ugandan,156,Undergraduate,39,42
Sarah Jones,72127216,School of Science & Technology,2024,2027,Male,Mathematics,Self-sponsored,Indian,125,Undergraduate,38,43
Jane Brown,46617307,Chandaria School of Business,2024,2029,Male,Marketing,Sponsored,Nigerian,47,PhD,11,15
Sarah Jones,18154441,School of Humanities & Social Sciences,2025,2026,Other,International Relations,Sponsored,Tanzanian,51,Masters,11,14
John Smith,93835212,School of Humanities & Social Sciences,2022,2025,Female,Sociology,Self-sponsored,Mexican,76,PhD,46,12
David Wilson,80011738,School of Humanities & Social Sciences,2022,2025,Female,Psychology,Sponsored,Indian,160,Undergraduate,15,40
David Williams,12672062,School of Pharmacy & Health Sciences,2024,2028,Other,Pharmacology,Self-sponsored,American,64,PhD,25,14
Jane Jones,24645520,Chandaria School of Business,2025,2028,Female,Marketing,Sponsored,Tanzanian,75,PhD,16,15
Michael Jones,61750201,School of Humanities & Social Sciences,2022,2026,Male,International Relations,Sponsored,Chinese,128,Undergraduate,42,40
Mary Doe,69229438,"School of Communication, Cinematic & Creative Arts",2022,2026,Other,Journalism,Sponsored,Australian,47,PhD,44,12
Michael Wilson,75542500,School of Pharmacy & Health Sciences,2023,2025,Female,Nursing,Self-sponsored,Tanzanian,53,Masters,30,12
David Miller,45203322,"School of Graduate Studies, Research & Extension",2025,2028,Female,Advanced Statistics,Self-sponsored,French,150,Undergraduate,39,40
John Doe,34636246,School of Pharmacy & Health Sciences,2022,2025,Male,Public Health,Sponsored,Kenyan,132,Undergraduate,20,42
Jane Doe,69056141,"School of Graduate Studies, Research & Extension",2025,2026,Male,Thesis Writing,Sponsored,Indian,35,Masters,17,14
Emily Williams,44171336,"School of Communication, Cinematic & Creative Arts",2023,2027,Other,Film Production,Self-sponsored,American,58,PhD,46,12
Mary Williams,91361548,Chandaria School of Business,2025,2026,Male,Finance,Self-sponsored,South African,52,Masters,20,14
Michael Williams,93793234,"School of Graduate Studies, Research & Extension",2022,2025,Female,Research Methodology,Self-sponsored,Kenyan,81,PhD,39,13
Peter Wilson,34849351,"School of Graduate Studies, Research & Extension",2022,2026,Female,Thesis Writing,Sponsored,Mexican,74,PhD,39,12
Sarah Williams,27148406,School of Science & Technology,2022,2025,Other,Mathematics,Sponsored,Brazilian,127,Undergraduate,19,40
John Wilson,51235281,"School of Graduate Studies, Research & Extension",2024,2027,Male,Thesis Writing,Sponsored,German,129,Undergraduate,24,44
Michael Davis,92817496,School of Pharmacy & Health Sciences,2022,2025,Other,Nursing,Sponsored,Brazilian,126,Undergraduate,10,43
Jane Smith,25651522,"School of Communication, Cinematic & Creative Arts",2022,2025,Male,Film Production,Sponsored,Australian,148,Undergraduate,42,40
Jane Brown,89593014,School of Pharmacy & Health Sciences,2022,2026,Other,Nursing,Self-sponsored,French,149,Undergraduate,23,42
Peter Miller,22152393,"School of Communication, Cinematic & Creative Arts",2024,2028,Male,Graphic Design,Self-sponsored,Kenyan,142,Undergraduate,39,42
David Miller,50213436,Chandaria School of Business,2024,2025,Other,Marketing,Self-sponsored,American,53,Masters,14,12
Peter Doe,79193019,"School of Communication, Cinematic & Creative Arts",2023,2027,Female,Journalism,Self-sponsored,Kenyan,130,Undergraduate,38,43
Michael Brown,96161975,Chandaria School of Business,2025,2027,Other,Finance,Self-sponsored,Rwandan,53,Masters,46,16
Jane Brown,54319486,School of Pharmacy & Health Sciences,2025,2026,Male,Public Health,Self-sponsored,Mexican,60,Masters,29,16
David Wilson,14794153,School of Science & Technology,2023,2025,Male,Mathematics,Self-sponsored,Brazilian,44,Masters,21,14
David Miller,80850705,"School of Communication, Cinematic & Creative Arts",2024,2027,Male,Film Production,Sponsored,Brazilian,144,Undergraduate,41,44
David Wilson,79945574,"School of Graduate Studies, Research & Extension",2023,2025,Other,Thesis Writing,Sponsored,Brazilian,56,Masters,28,12
Jane Jones,36151459,School of Pharmacy & Health Sciences,2025,2028,Female,Pharmacology,Sponsored,Brazilian,90,PhD,21,13
Jane Davis,91496630,"School of Graduate Studies, Research & Extension",2023,2027,Other,Advanced Statistics,Self-sponsored,French,156,Undergraduate,12,40
John Brown,91947355,School of Humanities & Social Sciences,2023,2027,Female,Psychology,Self-sponsored,Indian,136,Undergraduate,15,41
Sarah Williams,92625211,Chandaria School of Business,2025,2028,Female,Marketing,Sponsored,American,56,PhD,48,16
Mary Smith,39859485,School of Pharmacy & Health Sciences,2022,2027,Other,Nursing,Self-sponsored,Brazilian,73,PhD,17,13
Emily Miller,42579405,"School of Communication, Cinematic & Creative Arts",2023,2025,Female,Film Production,Self-sponsored,British,41,Masters,14,15
Jane Williams,34114853,Chandaria School of Business,2025,2027,Male,Marketing,Sponsored,Canadian,36,Masters,26,16
Jane Jones,34858191,Chandaria School of Business,2024,2028,Other,Human Resource Management,Sponsored,South African,76,PhD,12,16
David Davis,98230816,"School of Graduate Studies, Research & Extension",2025,2028,Female,Thesis Writing,Sponsored,American,73,PhD,35,15
John Williams,83553647,School of Humanities & Social Sciences,2024,2028,Male,Psychology,Sponsored,South African,67,PhD,27,12
Mary Jones,59548431,School of Humanities & Social Sciences,2025,2029,Other,Psychology,Self-sponsored,Rwandan,47,PhD,30,12
Michael Wilson,51690922,Chandaria School of Business,2023,2024,Other,Finance,Sponsored,Ugandan,50,Masters,28,13
Peter Williams,37628038,School of Pharmacy & Health Sciences,2024,2027,Female,Pharmacology,Self-sponsored,Canadian,50,PhD,16,14
David Davis,55892669,"School of Communication, Cinematic & Creative Arts",2023,2026,Other,Film Production,Self-sponsored,Indian,82,PhD,32,12
Sarah Williams,72660752,Chandaria School of Business,2023,2027,Female,Human Resource Management,Self-sponsored,Nigerian,127,Undergraduate,10,43
John Davis,50492368,"School of Graduate Studies, Research & Extension",2025,2026,Male,Advanced Statistics,Self-sponsored,Kenyan,56,Masters,41,13
Michael Miller,52410744,School of Humanities & Social Sciences,2024,2028,Male,Sociology,Sponsored,British,141,Undergraduate,19,44
Jane Brown,79415600,"School of Graduate Studies, Research & Extension",2023,2027,Male,Research Methodology,Sponsored,Rwandan,123,Undergraduate,18,44
David Smith,77848086,School of Pharmacy & Health Sciences,2022,2026,Female,Nursing,Sponsored,Tanzanian,129,Undergraduate,38,42
Emily Wilson,74807454,"School of Communication, Cinematic & Creative Arts",2023,2025,Other,Journalism,Sponsored,South African,46,Masters,49,15
John Doe,40889098,School of Pharmacy & Health Sciences,2025,2028,Female,Pharmacology,Sponsored,French,45,PhD,32,13
David Miller,80608221,School of Science & Technology,2025,2028,Male,Mathematics,Self-sponsored,Canadian,139,Undergraduate,31,43
John Doe,25535867,School of Science & Technology,2025,2026,Female,Computer Science,Self-sponsored,Australian,59,Masters,38,14
Peter Smith,82485535,"School of Communication, Cinematic & Creative Arts",2025,2027,Female,Journalism,Sponsored,German,30,Masters,44,13
Mary Davis,43012031,"School of Communication, Cinematic & Creative Arts",2022,2023,Male,Graphic Design,Self-sponsored,Indian,32,Masters,32,12
Michael Davis,52145459,"School of Communication, Cinematic & Creative Arts",2025,2029,Female,Film Production,Self-sponsored,Mexican,64,PhD,43,15
John Wilson,61416012,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Journalism,Sponsored,South African,78,PhD,39,14
Sarah Smith,84293136,"School of Graduate Studies, Research & Extension",2025,2028,Other,Research Methodology,Sponsored,French,63,PhD,32,14
Sarah Williams,79406195,"School of Communication, Cinematic & Creative Arts",2022,2027,Other,Journalism,Self-sponsored,Kenyan,67,PhD,46,15
Mary Williams,18329866,School of Humanities & Social Sciences,2022,2025,Female,Sociology,Sponsored,South African,64,PhD,14,12
David Miller,85179615,"School of Graduate Studies, Research & Extension",2023,2028,Female,Research Methodology,Self-sponsored,Rwandan,58,PhD,22,12
Mary Jones,65527554,School of Pharmacy & Health Sciences,2022,2026,Other,Nursing,Sponsored,French,140,Undergraduate,23,40
Sarah Doe,35681923,School of Science & Technology,2023,2027,Other,Biotechnology,Self-sponsored,Tanzanian,148,Undergraduate,24,41
Jane Davis,75051869,Chandaria School of Business,2024,2029,Other,Marketing,Self-sponsored,British,49,PhD,50,16
Jane Brown,62675110,"School of Communication, Cinematic & Creative Arts",2025,2028,Other,Film Production,Sponsored,French,135,Undergraduate,28,44
Emily Davis,31562040,Chandaria School of Business,2025,2026,Other,Finance,Sponsored,Brazilian,41,Masters,18,13
Emily Williams,74008899,"School of Communication, Cinematic & Creative Arts",2024,2025,Male,Journalism,Self-sponsored,German,31,Masters,22,16
Sarah Williams,28710063,"School of Communication, Cinematic & Creative Arts",2022,2027,Other,Journalism,Sponsored,Canadian,88,PhD,28,15
John Smith,17193995,Chandaria School of Business,2022,2026,Female,Marketing,Self-sponsored,Canadian,158,Undergraduate,32,43
Mary Wilson,68079197,"School of Graduate Studies, Research & Extension",2022,2026,Other,Advanced Statistics,Sponsored,American,140,Undergraduate,50,41
Jane Davis,31000850,School of Science & Technology,2024,2029,Other,Mathematics,Self-sponsored,Rwandan,67,PhD,35,15
Emily Wilson,65620236,Chandaria School of Business,2023,2027,Female,Finance,Sponsored,Australian,126,Undergraduate,45,40
John Davis,20733810,School of Pharmacy & Health Sciences,2024,2025,Other,Nursing,Sponsored,Brazilian,41,Masters,49,16
David Williams,15099532,School of Pharmacy & Health Sciences,2025,2030,Male,Nursing,Self-sponsored,French,55,PhD,20,15
Mary Brown,55521420,School of Science & Technology,2022,2024,Male,Biotechnology,Self-sponsored,Kenyan,53,Masters,50,14
Emily Smith,60504018,School of Humanities & Social Sciences,2024,2026,Male,Sociology,Sponsored,Indian,45,Masters,38,14
John Jones,13308916,School of Science & Technology,2024,2029,Female,Computer Science,Sponsored,Ugandan,85,PhD,19,15
Sarah Davis,77200584,"School of Communication, Cinematic & Creative Arts",2022,2027,Female,Film Production,Sponsored,British,83,PhD,12,14
Emily Jones,70413738,School of Science & Technology,2025,2027,Other,Biotechnology,Sponsored,Canadian,57,Masters,42,15
Jane Davis,88307869,School of Humanities & Social Sciences,2024,2026,Other,Sociology,Sponsored,Australian,36,Masters,27,16
Jane Brown,20075386,"School of Communication, Cinematic & Creative Arts",2025,2026,Male,Journalism,Self-sponsored,German,40,Masters,19,13
Emily Davis,83404266,Chandaria School of Business,2025,2029,Male,Human Resource Management,Sponsored,Australian,126,Undergraduate,48,40
Michael Brown,86515285,School of Science & Technology,2022,2023,Female,Biotechnology,Self-sponsored,Ugandan,59,Masters,13,16
Sarah Smith,79993690,"School of Graduate Studies, Research & Extension",2025,2026,Male,Thesis Writing,Self-sponsored,Australian,37,Masters,15,13
Mary Miller,34300435,School of Pharmacy & Health Sciences,2022,2026,Female,Nursing,Self-sponsored,British,50,PhD,20,16
Peter Doe,91940179,"School of Graduate Studies, Research & Extension",2025,2028,Other,Advanced Statistics,Self-sponsored,Australian,74,PhD,13,14
Mary Williams,23269160,Chandaria School of Business,2025,2029,Other,Human Resource Management,Sponsored,Chinese,158,Undergraduate,12,43
Jane Brown,32590144,Chandaria School of Business,2022,2026,Other,Human Resource Management,Self-sponsored,Mexican,128,Undergraduate,41,40
Michael Brown,75220551,School of Pharmacy & Health Sciences,2025,2030,Other,Pharmacology,Self-sponsored,French,67,PhD,11,16
Mary Brown,58381801,School of Pharmacy & Health Sciences,2022,2027,Male,Pharmacology,Self-sponsored,American,66,PhD,19,14
Mary Smith,15478180,Chandaria School of Business,2025,2027,Other,Human Resource Management,Sponsored,American,43,Masters,47,15
Peter Miller,29079543,"School of Graduate Studies, Research & Extension",2022,2026,Female,Research Methodology,Self-sponsored,Tanzanian,53,PhD,35,13
Peter Wilson,92717761,Chandaria School of Business,2023,2027,Male,Human Resource Management,Self-sponsored,Brazilian,129,Undergraduate,40,43
Jane Miller,51153959,"School of Communication, Cinematic & Creative Arts",2022,2027,Male,Graphic Design,Sponsored,French,69,PhD,42,16
John Davis,13242720,"School of Graduate Studies, Research & Extension",2024,2027,Female,Thesis Writing,Self-sponsored,Canadian,139,Undergraduate,50,42
Sarah Miller,16090800,"School of Communication, Cinematic & Creative Arts",2024,2028,Male,Graphic Design,Self-sponsored,Australian,68,PhD,30,13
Jane Miller,50777489,"School of Graduate Studies, Research & Extension",2024,2027,Female,Research Methodology,Sponsored,Ugandan,60,PhD,25,14
Jane Jones,18955152,"School of Graduate Studies, Research & Extension",2023,2024,Male,Advanced Statistics,Sponsored,American,48,Masters,34,16
David Miller,42847001,"School of Graduate Studies, Research & Extension",2022,2026,Male,Research Methodology,Self-sponsored,Brazilian,67,PhD,19,15
John Miller,80577268,School of Science & Technology,2022,2024,Other,Mathematics,Sponsored,Rwandan,51,Masters,41,16
Peter Wilson,58058583,"School of Graduate Studies, Research & Extension",2022,2024,Male,Advanced Statistics,Self-sponsored,Ugandan,60,Masters,35,13
Sarah Wilson,93559107,School of Humanities & Social Sciences,2025,2028,Male,Psychology,Self-sponsored,American,52,PhD,17,13
John Jones,32037467,"School of Communication, Cinematic & Creative Arts",2022,2026,Male,Film Production,Sponsored,Canadian,85,PhD,33,14
Emily Brown,91647390,School of Science & Technology,2024,2027,Male,Computer Science,Sponsored,Brazilian,142,Undergraduate,11,44
Emily Jones,72693068,"School of Graduate Studies, Research & Extension",2024,2026,Male,Thesis Writing,Sponsored,Chinese,43,Masters,15,12
David Jones,53535363,"School of Graduate Studies, Research & Extension",2024,2027,Other,Advanced Statistics,Self-sponsored,Ugandan,85,PhD,50,12
Mary Miller,62928632,School of Science & Technology,2024,2027,Male,Computer Science,Sponsored,Rwandan,134,Undergraduate,26,40
Peter Brown,27546426,School of Humanities & Social Sciences,2022,2025,Female,Psychology,Self-sponsored,Nigerian,67,PhD,23,15
Jane Doe,48630230,"School of Graduate Studies, Research & Extension",2024,2026,Other,Research Methodology,Self-sponsored,Kenyan,35,Masters,32,16
Emily Brown,89681319,"School of Communication, Cinematic & Creative Arts",2023,2026,Female,Graphic Design,Sponsored,French,131,Undergraduate,35,43
Mary Brown,89821271,Chandaria School of Business,2025,2029,Female,Finance,Sponsored,French,156,Undergraduate,12,40
Emily Jones,75846012,"School of Communication, Cinematic & Creative Arts",2023,2027,Male,Film Production,Self-sponsored,British,139,Undergraduate,48,41
Jane Brown,94456759,"School of Graduate Studies, Research & Extension",2025,2028,Male,Thesis Writing,Sponsored,French,50,PhD,42,15
David Davis,17244263,"School of Communication, Cinematic & Creative Arts",2025,2030,Male,Graphic Design,Sponsored,American,73,PhD,46,12
Peter Wilson,49064817,School of Science & Technology,2022,2025,Other,Computer Science,Sponsored,South African,121,Undergraduate,41,40
Mary Davis,80192389,"School of Graduate Studies, Research & Extension",2022,2023,Male,Research Methodology,Sponsored,Tanzanian,44,Masters,38,12
Sarah Jones,79063303,School of Humanities & Social Sciences,2024,2028,Female,Sociology,Self-sponsored,Canadian,74,PhD,12,13
Mary Williams,90465810,School of Pharmacy & Health Sciences,2025,2026,Male,Nursing,Sponsored,German,51,Masters,46,12
Michael Doe,83116464,School of Science & Technology,2025,2029,Male,Computer Science,Sponsored,Australian,148,Undergraduate,33,41
Emily Doe,84942383,"School of Communication, Cinematic & Creative Arts",2022,2025,Other,Film Production,Self-sponsored,French,125,Undergraduate,35,42
Mary Miller,49846527,School of Science & Technology,2022,2026,Female,Computer Science,Self-sponsored,Chinese,89,PhD,45,13
Michael Doe,52078045,"School of Graduate Studies, Research & Extension",2023,2027,Other,Research Methodology,Self-sponsored,British,157,Undergraduate,18,40
Sarah Davis,82342561,"School of Graduate Studies, Research & Extension",2023,2024,Male,Research Methodology,Self-sponsored,Canadian,32,Masters,40,15
Michael Doe,55768577,School of Pharmacy & Health Sciences,2024,2027,Female,Nursing,Sponsored,Mexican,80,PhD,38,12
Sarah Davis,60047784,School of Science & Technology,2022,2025,Male,Computer Science,Sponsored,Chinese,46,PhD,26,14
Michael Jones,49324439,Chandaria School of Business,2022,2027,Male,Finance,Sponsored,South African,48,PhD,20,14
Sarah Doe,38689957,"School of Communication, Cinematic & Creative Arts",2024,2026,Male,Journalism,Sponsored,American,54,Masters,37,15
David Wilson,10084601,"School of Graduate Studies, Research & Extension",2023,2024,Male,Advanced Statistics,Sponsored,Nigerian,56,Masters,43,14
Michael Brown,13792088,School of Pharmacy & Health Sciences,2023,2027,Male,Nursing,Self-sponsored,Nigerian,133,Undergraduate,43,41
David Smith,56645929,Chandaria School of Business,2023,2024,Female,Marketing,Sponsored,American,55,Masters,31,16
Mary Jones,61111798,"School of Graduate Studies, Research & Extension",2023,2027,Female,Research Methodology,Sponsored,Australian,59,PhD,30,16
David Doe,51314739,School of Science & Technology,2023,2028,Female,Biotechnology,Sponsored,British,51,PhD,34,16
Emily Miller,99896998,"School of Graduate Studies, Research & Extension",2025,2029,Female,Thesis Writing,Sponsored,American,150,Undergraduate,14,43
Peter Miller,33571940,"School of Communication, Cinematic & Creative Arts",2022,2026,Female,Journalism,Sponsored,Brazilian,85,PhD,28,15
Emily Williams,26385365,School of Pharmacy & Health Sciences,2024,2027,Female,Pharmacology,Self-sponsored,Canadian,74,PhD,21,16
Jane Brown,93471321,"School of Communication, Cinematic & Creative Arts",2023,2026,Male,Graphic Design,Self-sponsored,Brazilian,139,Undergraduate,28,41
Michael Miller,10563095,Chandaria School of Business,2025,2028,Female,Human Resource Management,Self-sponsored,British,157,Undergraduate,13,42
Emily Doe,72528865,"School of Communication, Cinematic & Creative Arts",2025,2028,Female,Film Production,Sponsored,French,128,Undergraduate,32,42
John Jones,17024033,"School of Communication, Cinematic & Creative Arts",2025,2029,Female,Film Production,Sponsored,Rwandan,79,PhD,34,12
Mary Wilson,41647378,"School of Graduate Studies, Research & Extension",2025,2027,Other,Advanced Statistics,Sponsored,Kenyan,47,Masters,42,14
David Miller,53124812,School of Pharmacy & Health Sciences,2023,2028,Other,Pharmacology,Self-sponsored,Brazilian,84,PhD,46,13
David Miller,55706211,School of Science & Technology,2025,2027,Female,Biotechnology,Self-sponsored,Kenyan,43,Masters,31,12
Sarah Jones,83827275,School of Science & Technology,2024,2027,Male,Biotechnology,Sponsored,Tanzanian,79,PhD,19,14
Sarah Williams,72764310,"School of Graduate Studies, Research & Extension",2022,2026,Other,Thesis Writing,Sponsored,British,128,Undergraduate,27,41
Mary Jones,87139419,School of Humanities & Social Sciences,2024,2029,Male,Psychology,Sponsored,Indian,45,PhD,11,12
Sarah Jones,99876610,"School of Communication, Cinematic & Creative Arts",2025,2026,Other,Journalism,Self-sponsored,British,31,Masters,38,15
Mary Doe,89049692,Chandaria School of Business,2022,2025,Other,Marketing,Self-sponsored,Kenyan,150,Undergraduate,14,43
Michael Smith,91736488,School of Science & Technology,2025,2028,Female,Biotechnology,Sponsored,Rwandan,142,Undergraduate,36,41
Mary Jones,32603792,Chandaria School of Business,2024,2027,Other,Marketing,Sponsored,Tanzanian,158,Undergraduate,24,41
Mary Jones,11950031,School of Pharmacy & Health Sciences,2023,2026,Female,Public Health,Sponsored,Brazilian,139,Undergraduate,22,41
Michael Davis,38320324,"School of Communication, Cinematic & Creative Arts",2023,2024,Female,Journalism,Self-sponsored,Tanzanian,49,Masters,26,12
Emily Doe,36797055,"School of Graduate Studies, Research & Extension",2025,2030,Other,Advanced Statistics,Self-sponsored,Brazilian,72,PhD,22,15
John Brown,15912883,"School of Graduate Studies, Research & Extension",2022,2026,Male,Advanced Statistics,Self-sponsored,Rwandan,90,PhD,18,12
Michael Smith,10829661,School of Pharmacy & Health Sciences,2025,2030,Other,Pharmacology,Self-sponsored,Kenyan,90,PhD,12,15
Michael Brown,34728593,"School of Graduate Studies, Research & Extension",2023,2026,Other,Research Methodology,Sponsored,Kenyan,73,PhD,24,13
Michael Miller,67627435,Chandaria School of Business,2025,2029,Female,Finance,Sponsored,Canadian,54,PhD,45,12
Jane Jones,13723336,"School of Communication, Cinematic & Creative Arts",2025,2027,Male,Graphic Design,Sponsored,Brazilian,46,Masters,37,14
David Williams,22911539,Chandaria School of Business,2025,2028,Male,Marketing,Self-sponsored,South African,50,PhD,37,13
John Wilson,91119576,School of Science & Technology,2023,2025,Male,Computer Science,Sponsored,Australian,39,Masters,35,15
Emily Brown,80593883,"School of Communication, Cinematic & Creative Arts",2024,2027,Female,Film Production,Self-sponsored,Indian,146,Undergraduate,19,44
Emily Williams,39365775,"School of Graduate Studies, Research & Extension",2022,2026,Male,Research Methodology,Sponsored,Chinese,63,PhD,32,15
Jane Jones,13357148,School of Pharmacy & Health Sciences,2024,2029,Male,Pharmacology,Sponsored,South African,84,PhD,10,12
Mary Brown,66959206,School of Humanities & Social Sciences,2022,2024,Male,Psychology,Self-sponsored,Nigerian,30,Masters,48,12
David Brown,44570753,School of Humanities & Social Sciences,2023,2028,Male,International Relations,Sponsored,Ugandan,49,PhD,16,12
Mary Smith,80577717,School of Science & Technology,2023,2028,Male,Biotechnology,Self-sponsored,German,61,PhD,44,16
Jane Jones,51686228,Chandaria School of Business,2022,2025,Other,Marketing,Sponsored,Canadian,122,Undergraduate,46,41
Emily Miller,50329646,School of Pharmacy & Health Sciences,2022,2026,Female,Public Health,Self-sponsored,Brazilian,62,PhD,44,12
John Wilson,32550545,School of Science & Technology,2024,2025,Female,Biotechnology,Self-sponsored,Chinese,43,Masters,30,12
David Davis,45494841,School of Science & Technology,2022,2023,Female,Computer Science,Self-sponsored,South African,39,Masters,38,12
David Doe,37067087,School of Humanities & Social Sciences,2024,2025,Other,International Relations,Sponsored,Chinese,30,Masters,49,13
Jane Smith,27387600,"School of Graduate Studies, Research & Extension",2024,2027,Female,Research Methodology,Self-sponsored,American,155,Undergraduate,27,41
Mary Davis,72898571,School of Science & Technology,2022,2025,Other,Computer Science,Sponsored,Tanzanian,48,PhD,44,14
Emily Jones,89191947,Chandaria School of Business,2023,2027,Other,Finance,Sponsored,Kenyan,129,Undergraduate,35,44
Jane Jones,10922484,"School of Graduate Studies, Research & Extension",2023,2024,Other,Advanced Statistics,Self-sponsored,Indian,39,Masters,40,15
Emily Jones,64636172,School of Humanities & Social Sciences,2025,2027,Male,Psychology,Self-sponsored,Nigerian,39,Masters,12,15
Mary Smith,47601923,School of Science & Technology,2023,2026,Female,Computer Science,Self-sponsored,Australian,139,Undergraduate,29,41
John Wilson,38032034,School of Science & Technology,2025,2028,Female,Computer Science,Sponsored,Chinese,90,PhD,34,14
Peter Wilson,80509610,Chandaria School of Business,2024,2027,Other,Human Resource Management,Sponsored,South African,57,PhD,23,12
Sarah Doe,54458571,"School of Graduate Studies, Research & Extension",2024,2027,Female,Research Methodology,Sponsored,Brazilian,74,PhD,48,14
Michael Davis,33640067,Chandaria School of Business,2022,2025,Female,Marketing,Self-sponsored,Rwandan,76,PhD,25,15
Jane Wilson,67623269,"School of Communication, Cinematic & Creative Arts",2023,2028,Other,Film Production,Self-sponsored,Nigerian,64,PhD,23,12
Jane Smith,20984883,Chandaria School of Business,2025,2028,Female,Finance,Sponsored,Kenyan,146,Undergraduate,10,43
Peter Williams,92891826,School of Science & Technology,2022,2026,Female,Computer Science,Sponsored,Brazilian,149,Undergraduate,11,40
Mary Brown,22044476,School of Science & Technology,2022,2025,Female,Biotechnology,Sponsored,German,123,Undergraduate,21,40
Michael Doe,84892641,School of Pharmacy & Health Sciences,2024,2025,Other,Nursing,Sponsored,American,59,Masters,10,15
Sarah Smith,53496438,"School of Graduate Studies, Research & Extension",2025,2029,Other,Research Methodology,Sponsored,British,84,PhD,33,14
Michael Jones,40197569,Chandaria School of Business,2025,2028,Other,Marketing,Self-sponsored,Australian,75,PhD,36,12
John Williams,94188702,Chandaria School of Business,2024,2029,Male,Human Resource Management,Self-sponsored,Kenyan,69,PhD,19,16
David Miller,79528187,School of Pharmacy & Health Sciences,2022,2023,Other,Pharmacology,Sponsored,Chinese,54,Masters,29,14
Michael Davis,85019711,"School of Graduate Studies, Research & Extension",2023,2026,Male,Thesis Writing,Self-sponsored,Ugandan,132,Undergraduate,35,40
Peter Jones,62150127,"School of Graduate Studies, Research & Extension",2025,2030,Other,Thesis Writing,Self-sponsored,Indian,69,PhD,28,14
David Brown,27450410,Chandaria School of Business,2023,2026,Female,Marketing,Self-sponsored,French,86,PhD,26,12
Sarah Miller,25102784,"School of Communication, Cinematic & Creative Arts",2025,2027,Other,Film Production,Sponsored,Brazilian,56,Masters,33,15
Mary Williams,10939275,School of Science & Technology,2022,2023,Male,Computer Science,Self-sponsored,South African,56,Masters,36,15
Sarah Jones,71904536,School of Pharmacy & Health Sciences,2024,2026,Female,Pharmacology,Sponsored,Tanzanian,55,Masters,38,14
